length_context,length_question,length_entities,entity_num,correct
885,12,19,54,0
442,12,20,8,1
791,11,22,0,0
814,13,21,3,0
254,14,18,38,0
339,13,28,6,1
1189,16,24,29,0
452,17,34,4,1
293,12,18,4,1
236,37,11,4,0
1095,13,41,7,1
305,17,20,27,0
387,11,10,3,0
154,14,14,2,1
996,10,19,1,1
1001,16,26,4,1
804,11,21,8,1
588,6,15,27,0
170,15,13,16,0
896,10,15,19,0
1540,12,396,20,0
486,18,21,9,0
590,19,8,9,0
591,16,15,6,0
706,19,20,2,1
321,20,26,58,0
1026,23,28,4,1
791,12,22,1,1
599,14,18,7,1
653,21,22,37,0
127,17,10,10,0
983,14,18,10,1
246,15,10,11,1
1442,12,40,9,1
778,13,22,5,1
305,12,8,5,1
649,10,27,9,0
307,14,6,3,1
393,10,13,3,1
538,18,37,5,0
1354,8,44,13,1
1058,9,33,4,1
413,21,22,20,0
485,9,12,6,1
673,13,25,22,0
531,13,33,6,1
1291,24,44,209,0
829,11,23,0,1
985,29,15,2,1
481,10,16,1,1
655,21,32,31,0
1607,17,32,6,1
194,10,16,9,1
775,13,10,12,0
811,16,19,7,1
467,14,27,1,0
576,13,29,44,0
1129,15,39,27,0
797,20,8,82,0
474,6,27,7,0
558,18,24,13,1
657,11,13,6,1
378,11,10,4,0
449,15,12,10,1
501,19,23,65,0
735,13,29,2,1
1044,12,33,11,1
682,16,13,14,1
1376,17,28,2,1
773,12,19,9,0
869,11,45,11,0
996,6,19,1,1
610,12,16,8,1
1258,13,32,253,0
580,13,15,12,0
969,14,21,5,0
434,15,25,48,0
643,9,8,0,1
681,14,24,3,1
314,20,12,2,0
675,15,32,0,1
313,10,8,21,0
1065,21,23,0,1
732,18,17,2,1
776,13,31,48,0
279,10,28,16,0
344,9,13,4,1
1446,15,46,12,0
282,14,8,1,0
311,6,31,4,1
405,15,23,48,0
1578,8,24,5,1
311,11,14,6,1
1012,13,38,25,0
932,7,54,23,0
1089,16,29,3,1
792,10,18,1,1
760,15,13,6,0
336,12,9,0,0
382,10,22,22,0
614,13,21,14,0
335,15,30,3,0
935,24,17,11,1
314,20,12,1,0
1135,11,26,3,1
208,19,16,9,1
413,12,22,8,1
565,16,11,1,1
1209,15,40,2,0
901,17,16,3,1
1087,10,46,5,0
889,14,39,2,1
792,13,20,0,1
819,13,26,2,0
141,12,9,17,0
1123,22,15,58,0
380,17,17,9,0
797,10,28,1,1
1098,23,22,58,0
526,10,26,43,0
165,11,14,3,1
637,14,18,16,1
462,14,13,15,1
791,12,22,6,1
778,12,34,2,1
1607,12,32,6,1
1085,16,18,38,0
352,16,16,6,1
1020,10,23,10,1
601,16,21,7,1
196,9,9,13,1
1282,14,15,8,1
208,12,12,3,0
1650,13,53,0,1
441,10,30,9,1
1540,18,396,15,0
974,9,28,13,0
1282,14,15,15,1
1046,14,27,195,0
1169,12,17,40,0
531,13,27,1,0
976,17,25,2,1
322,15,18,8,0
1120,7,25,9,0
312,12,7,0,1
237,11,17,9,1
919,22,24,9,1
378,13,17,5,1
732,18,17,6,1
344,9,13,26,0
541,15,30,47,0
312,11,7,8,0
1240,10,57,5,0
343,11,25,28,0
226,8,33,3,1
316,15,11,7,1
1007,19,35,3,1
1026,11,12,64,0
1177,16,41,68,0
1000,12,24,48,0
681,12,24,9,0
468,11,27,1,1
404,16,12,27,0
409,15,25,2,0
300,11,15,33,0
638,12,39,3,1
1396,12,26,1,1
1001,16,26,39,0
421,12,12,9,1
1020,9,23,24,0
1540,12,396,18,1
932,20,14,2,0
502,14,17,1,1
640,10,33,8,1
866,16,34,4,1
1031,11,37,4,1
1149,15,18,34,0
413,21,22,19,0
126,11,13,1,1
1135,11,26,44,1
268,8,9,18,0
823,10,52,8,1
1020,9,23,2,1
316,14,11,7,1
983,14,18,0,1
631,16,22,0,1
742,13,17,70,0
316,15,11,33,0
281,12,14,6,0
793,8,48,30,0
554,15,35,0,1
560,10,16,44,0
612,10,20,0,1
1014,16,10,78,0
1022,9,28,3,1
1121,14,28,6,1
282,14,8,10,1
755,13,11,1,1
322,12,15,6,1
838,12,12,1,0
637,14,18,23,0
359,14,21,31,0
675,17,32,3,1
788,11,31,111,0
846,10,19,0,1
866,10,34,4,1
438,18,13,10,0
350,11,15,6,1
1012,11,38,1,1
255,6,21,10,1
1021,13,20,7,1
295,12,20,6,1
468,11,28,36,0
1823,17,69,28,0
305,8,10,7,1
461,14,23,9,0
409,6,25,14,1
614,18,21,0,1
856,8,15,0,1
119,12,4,2,1
808,13,30,2,0
740,15,25,2,1
418,11,9,11,0
778,18,22,5,1
782,14,18,2,0
837,19,14,5,0
708,10,30,53,0
150,10,11,6,0
415,18,11,5,0
1016,16,28,6,1
983,13,18,0,1
864,25,21,3,1
311,11,14,7,0
481,20,9,12,0
372,10,19,27,0
1046,13,21,2,0
956,12,32,8,1
1775,19,57,36,0
1649,17,36,20,0
379,16,20,5,1
1204,14,29,212,0
1351,15,43,3,1
148,13,8,0,1
1303,11,32,16,0
606,19,23,5,0
1164,13,42,60,0
774,13,25,9,1
676,7,14,12,0
666,12,29,1,1
1477,16,59,0,0
1095,27,40,31,0
1095,9,41,7,1
494,12,12,8,0
1434,11,21,32,1
444,11,13,6,1
805,9,54,104,0
1717,13,52,113,0
636,8,20,9,1
1014,13,20,2,0
237,11,17,11,0
1164,19,42,11,1
726,16,18,18,0
531,18,33,5,0
550,9,19,5,0
856,14,42,15,0
719,15,24,1,1
339,11,11,1,1
1095,28,40,196,0
227,37,13,4,0
1574,16,40,7,1
303,11,10,3,0
805,7,54,25,0
525,14,23,0,1
280,7,15,11,1
1261,17,20,24,0
733,20,22,1,0
787,20,33,3,1
1299,21,18,15,1
220,13,20,10,0
357,13,18,4,1
1047,18,29,22,0
752,13,11,3,1
492,8,20,85,0
274,20,22,6,0
740,17,25,2,0
637,12,18,15,0
499,9,31,19,0
311,10,12,8,0
667,14,32,46,0
599,14,18,5,0
849,13,43,2,1
1164,13,42,0,1
300,18,17,5,1
301,18,9,40,0
797,11,8,33,1
610,13,16,8,1
507,15,24,6,1
344,9,13,9,1
700,16,16,5,0
933,13,20,0,0
326,13,13,0,0
1351,15,43,15,1
577,18,15,1,1
231,7,21,8,0
1205,12,48,16,0
170,14,8,4,1
256,11,25,9,0
927,14,36,14,0
666,11,29,2,0
323,12,19,1,0
