length_context,length_question,length_entities,entity_num,correct
664,9,39,77,0
1306,10,42,4,1
587,10,24,9,1
619,12,14,0,0
1548,17,46,9,1
1989,15,31,6,0
902,12,29,1,0
503,14,18,56,0
169,7,8,0,1
800,10,28,52,0
766,18,52,2,1
348,12,22,35,0
850,15,13,1,1
407,14,48,6,0
986,21,18,7,0
814,11,41,2,1
586,15,20,11,0
738,16,22,3,0
721,11,20,8,1
1030,15,33,23,0
1268,14,31,98,0
775,8,40,6,0
253,16,10,5,0
456,13,19,1,0
819,18,35,2,1
554,15,20,13,0
744,15,32,2,1
1216,6,53,3,1
348,6,22,15,0
202,15,13,5,1
330,13,14,22,0
412,8,13,42,0
1130,11,25,39,0
693,13,34,54,0
1426,17,65,77,0
999,12,16,21,0
141,9,10,2,0
1380,16,38,2,1
761,13,20,6,0
558,11,16,21,0
790,6,25,4,1
1197,17,46,0,1
366,12,14,0,1
1259,12,36,112,0
1051,17,32,24,1
1135,16,27,20,0
520,7,13,7,0
709,11,14,88,0
943,13,18,2,1
293,7,11,12,1
585,7,18,5,1
788,13,20,14,0
200,9,14,1,1
1402,12,45,139,0
913,14,35,8,0
491,11,12,19,1
472,18,19,1,0
1018,6,34,0,1
614,8,20,3,1
436,14,20,2,0
456,14,25,5,1
703,14,22,32,0
654,9,18,28,0
520,15,27,2,0
1280,13,42,11,0
1737,14,77,2,0
365,10,5,11,0
1251,13,27,3,1
924,13,38,50,0
763,12,21,5,0
1572,12,39,17,0
450,19,22,79,0
1025,11,25,24,0
518,11,18,1,1
1045,15,35,0,1
587,14,22,5,0
1287,7,24,0,0
401,11,27,11,1
830,12,12,46,0
1787,17,30,14,0
1209,13,23,13,1
723,11,17,6,1
200,18,14,13,0
1357,15,53,200,0
561,13,21,2,1
1504,14,38,6,1
614,13,20,0,1
1403,14,21,2,1
1090,28,25,37,0
1164,18,50,10,1
282,15,22,11,0
346,20,14,16,1
599,13,33,8,1
857,17,18,13,0
364,13,17,12,0
1548,16,46,9,1
1250,12,45,2,1
1322,15,30,6,1
635,12,33,30,0
710,15,15,12,0
292,18,13,16,0
181,11,7,12,0
162,10,14,2,1
712,14,29,4,0
1130,15,29,2,1
830,12,12,47,0
1227,22,24,31,0
752,15,29,23,0
555,11,24,45,0
368,14,13,6,1
504,11,19,0,0
1256,20,29,8,1
468,7,15,5,0
703,14,22,32,0
1258,14,47,0,1
1250,14,52,98,0
1537,14,22,86,0
575,12,20,0,0
995,12,37,8,0
334,11,10,1,1
1102,7,43,53,0
221,6,16,10,0
665,10,31,11,1
206,13,4,1,1
1256,13,29,24,1
594,9,15,30,1
184,11,9,15,0
279,13,8,8,1
976,15,51,0,1
1513,15,28,8,1
430,11,16,9,0
352,9,19,11,1
1073,16,26,0,1
418,10,17,18,0
238,37,10,27,0
1090,14,25,137,0
802,17,25,19,0
1166,11,16,1,0
1181,11,24,106,0
206,16,23,21,0
868,12,29,6,1
1339,14,22,1,1
1030,13,33,0,0
433,14,22,21,0
398,13,15,11,0
1962,16,54,8,1
766,11,52,136,0
1168,10,29,14,0
343,18,13,37,0
674,22,25,53,0
1132,20,28,131,0
595,8,22,8,1
1250,14,52,208,0
911,19,39,78,0
1469,12,47,9,0
427,11,14,48,0
359,12,35,0,1
341,13,14,0,1
1426,16,65,74,0
634,13,29,44,0
602,21,28,7,1
864,15,22,1,1
1141,16,14,52,0
1104,10,29,16,1
717,14,37,67,0
227,9,14,30,0
938,10,35,3,1
1337,16,58,3,1
1207,13,31,15,0
775,9,40,50,0
1238,11,49,15,0
819,12,50,22,0
1445,16,37,186,0
583,13,16,9,0
412,17,11,18,0
273,18,15,1,1
415,25,39,3,0
1348,15,23,0,1
415,25,39,53,0
213,7,20,5,1
779,17,22,8,0
506,10,37,19,0
312,18,8,13,0
1102,18,35,0,1
788,14,32,7,1
417,12,15,7,1
282,10,23,11,0
1445,16,37,3,1
1363,13,53,112,0
141,12,9,1,1
348,6,22,68,0
1130,11,25,41,1
994,14,30,1,1
1416,22,41,16,1
275,6,10,1,1
923,11,19,10,0
366,23,14,13,0
1075,12,44,10,0
1012,14,27,6,1
710,12,15,10,0
1483,18,65,4,1
315,12,12,11,0
233,9,12,1,0
528,15,25,2,0
1384,16,20,2,1
221,8,10,1,1
646,16,29,3,1
1102,18,35,22,0
658,18,25,3,1
314,17,19,10,1
584,11,17,89,0
1086,13,20,10,0
302,7,12,40,0
1740,9,39,4,1
639,9,30,1,0
288,10,13,10,0
407,12,48,0,1
1381,12,31,5,1
938,7,35,30,0
316,9,13,4,1
425,15,21,2,1
475,19,8,20,1
808,8,26,7,1
1438,11,61,1,1
1373,24,9,266,0
575,12,20,13,1
842,15,24,11,0
1586,12,43,13,0
1218,14,25,7,1
1272,11,33,1,1
636,11,45,5,1
939,15,20,34,0
723,11,17,3,1
378,12,12,12,0
765,14,35,9,1
705,6,21,9,0
896,14,47,5,1
863,13,41,23,0
145,17,13,3,1
828,10,46,10,0
800,10,28,151,0
200,9,14,30,0
1426,19,65,31,0
772,13,19,148,0
108,16,8,1,0
721,10,20,9,1
789,7,28,1,1
182,13,8,6,1
1325,22,38,17,0
1540,16,39,35,0
1490,13,90,188,0
575,12,17,7,1
786,13,46,88,0
788,19,20,5,1
1261,20,44,34,0
1189,17,31,2,0
488,12,17,12,1
875,13,71,5,0
534,17,18,20,0
219,7,16,45,0
492,11,19,41,0
1357,15,53,12,0
609,10,43,7,0
1269,11,33,163,0
1548,16,46,5,1
751,10,26,8,1
475,11,24,3,1
240,37,10,21,0
462,11,7,21,0
1271,7,56,3,0
848,15,17,3,1
259,12,9,5,1
1195,9,33,13,1
639,17,30,23,0
961,20,16,36,0
348,14,15,8,1
255,16,30,5,0
206,16,4,3,0
1562,20,42,37,0
1325,13,33,0,1
1272,22,33,1,1
236,10,15,9,0
520,9,26,0,1
1458,18,54,7,1
717,14,23,2,1
149,17,11,0,1
963,12,34,1,0
875,19,28,30,0
1118,16,74,65,0
449,9,25,3,1
655,16,20,119,0
714,11,31,5,0
674,23,25,3,0
154,8,5,0,1
619,14,14,3,1
203,12,15,5,0
530,7,22,1,1
820,17,12,85,0
114,8,13,16,0
703,14,22,24,0
511,12,30,0,1
537,14,10,0,1
417,11,15,12,0
349,11,9,15,0
1003,12,12,84,0
936,13,12,16,1
1242,15,38,17,1
540,9,20,5,1
837,18,43,154,0
259,9,9,31,0
852,15,17,5,1
1028,8,41,138,0
398,13,15,12,0
945,7,11,2,1
424,12,11,0,1
411,12,16,0,1
504,19,25,4,1
505,8,21,43,0
649,31,28,12,0
365,11,30,33,1
1102,11,26,12,1
876,12,23,2,1
902,14,29,0,1
859,17,13,157,0
779,11,22,0,1
766,11,52,133,0
890,12,24,0,1
994,11,19,3,1
1130,15,29,28,0
392,16,18,0,1
1114,10,30,2,1
1003,12,12,4,1
447,15,8,7,0
974,10,39,2,1
462,12,23,8,1
997,23,29,63,0
179,11,18,5,1
814,17,29,3,1
1189,10,31,2,1
315,10,24,3,1
417,9,12,5,0
1467,15,47,3,1
382,14,14,1,1
328,20,30,8,0
628,9,12,16,1
1135,11,25,53,0
729,11,17,0,1
470,37,20,23,1
288,10,13,9,0
1167,14,21,22,1
1215,13,29,0,1
472,16,19,5,1
923,13,19,5,1
315,14,12,3,1
767,7,39,7,0
512,8,39,48,0
1191,11,19,9,1
718,7,19,1,1
1719,18,50,187,0
739,11,22,1,1
1608,15,75,19,0
1140,11,24,2,1
241,9,6,0,1
612,12,45,112,0
586,12,20,13,1
436,12,20,6,0
202,15,13,0,1
1572,14,39,29,0
914,10,20,13,0
488,14,17,1,1
486,20,14,65,0
775,7,26,0,1
1058,11,40,93,0
380,12,19,2,0
1218,11,25,7,1
532,16,23,4,1
751,13,26,5,0
1233,14,44,0,0
275,6,10,4,1
367,16,17,7,1
281,11,10,0,1
359,10,35,70,0
785,11,30,84,0
1090,5,98,1,1
821,17,16,3,0
800,15,29,76,0
1135,11,25,74,0
814,17,29,1,1
958,9,187,10,0
1215,13,29,21,0
282,16,22,13,0
695,10,47,2,1
1238,11,49,10,0
919,12,29,8,1
636,13,45,5,1
219,15,17,8,1
745,12,34,1,1
819,8,50,171,0
239,8,16,3,0
573,9,18,87,0
587,15,13,16,0
646,16,29,2,0
595,13,30,61,0
417,8,23,15,0
182,14,11,11,0
976,16,51,119,0
1206,13,24,8,1
1787,13,30,1,0
1233,14,44,7,1
847,13,16,6,1
1446,16,33,6,0
1306,9,30,45,0
517,15,14,19,0
1094,11,23,68,0
981,11,40,49,0
468,16,15,5,1
1442,8,49,0,1
1030,13,33,12,1
1515,16,17,60,0
738,16,52,10,1
171,7,9,7,0
1459,12,51,4,1
365,13,27,2,1
380,14,13,3,1
788,14,32,43,0
613,10,12,18,0
365,6,27,61,0
648,19,10,5,1
765,8,32,1,1
528,12,25,8,0
449,9,25,1,1
717,12,37,15,0
1199,13,46,0,1
944,12,59,10,1
651,11,28,2,1
546,22,12,37,0
1951,16,60,104,0
665,11,41,37,0
802,12,25,5,1
1045,12,62,5,0
1177,13,19,5,1
874,10,27,0,1
875,11,71,5,0
422,18,31,2,1
1219,15,30,15,0
946,15,21,5,0
486,20,14,0,1
1791,12,64,12,1
635,11,33,2,0
994,14,30,2,0
515,11,23,47,0
812,13,17,12,0
1030,15,33,8,0
826,12,36,4,0
203,12,15,3,0
587,7,15,23,0
751,13,26,11,0
819,15,18,20,1
720,23,12,0,1
872,13,22,34,0
1233,14,44,5,1
194,12,14,3,1
558,11,16,21,0
570,15,11,2,1
442,10,13,1,1
1256,13,29,27,0
1001,14,45,2,1
679,13,20,1,1
1114,9,26,26,0
220,37,13,13,0
273,14,15,4,1
592,14,36,11,1
776,12,20,7,0
814,16,41,4,1
94,12,6,14,0
642,12,17,8,1
767,8,39,1,1
179,11,18,27,0
249,14,12,14,1
1416,9,40,271,0
1521,7,36,4,1
315,10,13,17,1
392,14,18,18,0
654,11,25,4,1
419,14,19,7,0
1806,22,127,212,0
748,16,19,4,0
416,13,10,4,0
351,12,13,0,0
445,17,14,32,0
1306,12,42,21,0
729,9,17,0,1
821,16,30,31,0
847,13,16,182,0
1244,12,37,7,1
505,15,18,6,0
573,11,21,0,1
1001,13,45,2,1
1043,18,15,0,1
1444,14,17,0,1
365,13,27,5,1
184,11,9,4,1
855,14,75,179,0
328,20,30,9,0
814,17,29,14,0
414,7,16,8,1
