length,correct
885,0
442,1
791,0
814,0
254,0
339,1
1189,0
452,1
293,1
236,0
1095,1
305,0
387,0
154,1
996,1
1001,1
804,1
588,0
170,0
896,0
1540,0
486,0
590,0
591,0
706,1
321,0
1026,1
791,1
599,1
653,0
127,0
983,1
246,1
1442,1
778,1
305,1
649,0
307,1
393,1
538,0
1354,1
1058,1
413,0
485,1
673,0
531,1
1291,0
829,1
985,1
481,1
655,0
1607,1
194,1
775,0
811,1
467,0
576,0
1129,0
797,0
474,0
558,1
657,1
378,0
449,1
501,0
735,1
1044,1
682,1
1376,1
773,0
869,0
996,1
610,1
1258,0
580,0
969,0
434,0
643,1
681,1
314,0
675,1
313,0
1065,1
732,1
776,0
279,0
344,1
1446,0
282,0
311,1
405,0
1578,1
311,1
1012,0
932,0
1089,1
792,1
760,0
336,0
382,0
614,0
335,0
935,1
314,0
1135,1
208,1
413,1
565,1
1209,0
901,1
1087,0
889,1
792,1
819,0
141,0
1123,0
380,0
797,1
1098,0
526,0
165,1
637,1
462,1
791,1
778,1
1607,1
1085,0
352,1
1020,1
601,1
196,1
1282,1
208,0
1650,1
441,1
1540,0
974,0
1282,1
1046,0
1169,0
531,0
976,1
322,0
1120,0
312,1
237,1
919,1
378,1
732,1
344,0
541,0
312,0
1240,0
343,0
226,1
316,1
1007,1
1026,0
1177,0
1000,0
681,0
468,1
404,0
409,0
300,0
638,1
1396,1
1001,0
421,1
1020,0
1540,1
932,0
502,1
640,1
866,1
1031,1
1149,0
413,0
126,1
1135,1
268,0
823,1
1020,1
316,1
983,1
631,1
742,0
316,0
281,0
793,0
554,1
560,0
612,1
1014,0
1022,1
1121,1
282,1
755,1
322,1
838,0
637,0
359,0
675,1
788,0
846,1
866,1
438,0
350,1
1012,1
255,1
1021,1
295,1
468,0
1823,0
305,1
461,0
409,1
614,1
856,1
119,1
808,0
740,1
418,0
778,1
782,0
837,0
708,0
150,0
415,0
1016,1
983,1
864,1
311,0
481,0
372,0
1046,0
956,1
1775,0
1649,0
379,1
1204,0
1351,1
148,1
1303,0
606,0
1164,0
774,1
676,0
666,1
1477,0
1095,0
1095,1
494,0
1434,1
444,1
805,0
1717,0
636,1
1014,0
237,0
1164,1
726,0
531,0
550,0
856,0
719,1
339,1
1095,0
227,0
1574,1
303,0
805,0
525,1
280,1
1261,0
733,0
787,1
1299,1
220,0
357,1
1047,0
752,1
492,0
274,0
740,0
637,0
499,0
311,0
667,0
599,0
849,1
1164,1
300,1
301,0
797,1
610,1
507,1
344,1
700,0
933,0
326,0
1351,1
577,1
231,0
1205,0
170,1
256,0
927,0
666,0
323,0
564,1
417,0
746,0
923,0
127,0
602,1
770,1
1070,0
571,1
421,0
394,0
696,1
314,0
1353,1
1234,0
1606,0
564,1
417,1
1123,0
703,0
191,0
1123,1
422,0
223,0
1718,0
1106,0
496,0
350,0
1443,0
225,0
996,1
1142,0
1240,1
1098,0
933,1
206,0
511,1
1256,0
854,0
237,0
382,0
1614,1
256,0
393,1
254,1
343,0
1034,1
165,1
699,0
519,1
445,0
380,1
316,0
350,1
236,0
264,0
1446,0
1197,1
301,1
637,1
1940,0
437,0
393,1
264,0
1706,0
1070,0
896,0
513,0
655,0
1390,0
580,0
326,1
760,0
655,0
625,0
773,0
1112,1
413,0
636,0
1240,0
1527,0
